Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2/5/2010,42.31,2.57,NA,NA,NA,NA,NA,211.10,8.11,FALSE
1,2/12/2010,38.51,2.55,NA,NA,NA,NA,NA,211.24,8.11,TRUE
1,2/19/2010,39.93,2.51,NA,NA,NA,NA,NA,211.29,8.11,FALSE
1,2/26/2010,46.63,2.56,NA,NA,NA,NA,NA,211.32,8.11,FALSE
1,3/5/2010,46.50,2.63,NA,NA,NA,NA,NA,211.35,8.11,FALSE
1,3/12/2010,57.79,2.67,NA,NA,NA,NA,NA,211.38,8.11,FALSE
1,3/19/2010,54.58,2.72,NA,NA,NA,NA,NA,211.22,8.11,FALSE
1,3/26/2010,51.45,2.73,NA,NA,NA,NA,NA,211.02,8.11,FALSE
1,4/2/2010,62.27,2.72,NA,NA,NA,NA,NA,210.82,7.81,FALSE
1,4/9/2010,65.86,2.77,NA,NA,NA,NA,NA,210.62,7.81,FALSE
1,4/16/2010,66.32,2.81,NA,NA,NA,NA,NA,210.49,7.81,FALSE
1,4/23/2010,64.84,2.80,NA,NA,NA,NA,NA,210.44,7.81,FALSE
1,4/30/2010,67.41,2.78,NA,NA,NA,NA,NA,210.39,7.81,FALSE
1,5/7/2010,72.55,2.84,NA,NA,NA,NA,NA,210.34,7.81,FALSE
1,5/14/2010,74.78,2.85,NA,NA,NA,NA,NA,210.34,7.81,FALSE
1,5/21/2010,76.44,2.83,NA,NA,NA,NA,NA,210.62,7.81,FALSE
1,5/28/2010,80.44,2.76,NA,NA,NA,NA,NA,210.90,7.81,FALSE
1,6/4/2010,80.69,2.71,NA,NA,NA,NA,NA,211.18,7.81,FALSE
1,6/11/2010,80.43,2.67,NA,NA,NA,NA,NA,211.46,7.81,FALSE
1,6/18/2010,84.11,2.64,NA,NA,NA,NA,NA,211.45,7.81,FALSE
1,6/25/2010,84.34,2.65,NA,NA,NA,NA,NA,211.34,7.81,FALSE
1,7/2/2010,80.91,2.67,NA,NA,NA,NA,NA,211.22,7.79,FALSE
1,7/9/2010,80.48,2.64,NA,NA,NA,NA,NA,211.11,7.79,FALSE
1,7/16/2010,83.15,2.62,NA,NA,NA,NA,NA,211.10,7.79,FALSE
1,7/23/2010,83.36,2.61,NA,NA,NA,NA,NA,211.24,7.79,FALSE
1,7/30/2010,81.84,2.64,NA,NA,NA,NA,NA,211.37,7.79,FALSE
1,8/6/2010,87.16,2.63,NA,NA,NA,NA,NA,211.50,7.79,FALSE
1,8/13/2010,87.00,2.69,NA,NA,NA,NA,NA,211.64,7.79,FALSE
1,8/20/2010,86.65,2.66,NA,NA,NA,NA,NA,211.60,7.79,FALSE
1,8/27/2010,85.22,2.62,NA,NA,NA,NA,NA,211.57,7.79,FALSE
1,9/3/2010,81.21,2.58,NA,NA,NA,NA,NA,211.53,7.79,FALSE
1,9/10/2010,78.69,2.57,NA,NA,NA,NA,NA,211.50,7.79,TRUE
1,9/17/2010,82.11,2.58,NA,NA,NA,NA,NA,211.52,7.79,FALSE
1,9/24/2010,80.94,2.62,NA,NA,NA,NA,NA,211.60,7.79,FALSE
1,10/1/2010,71.89,2.60,NA,NA,NA,NA,NA,211.67,7.84,FALSE
1,10/8/2010,63.93,2.63,NA,NA,NA,NA,NA,211.75,7.84,FALSE
1,10/15/2010,67.18,2.72,NA,NA,NA,NA,NA,211.81,7.84,FALSE
1,10/22/2010,69.86,2.73,NA,NA,NA,NA,NA,211.86,7.84,FALSE
1,10/29/2010,69.64,2.72,NA,NA,NA,NA,NA,211.91,7.84,FALSE
1,11/5/2010,58.74,2.69,NA,NA,NA,NA,NA,211.96,7.84,FALSE
1,11/12/2010,59.61,2.73,NA,NA,NA,NA,NA,212.00,7.84,FALSE
1,11/19/2010,51.41,2.77,NA,NA,NA,NA,NA,211.89,7.84,FALSE
1,11/26/2010,64.52,2.74,NA,NA,NA,NA,NA,211.75,7.84,TRUE
1,12/3/2010,49.27,2.71,NA,NA,NA,NA,NA,211.61,7.84,FALSE
1,12/10/2010,46.33,2.84,NA,NA,NA,NA,NA,211.47,7.84,FALSE
1,12/17/2010,49.84,2.87,NA,NA,NA,NA,NA,211.41,7.84,FALSE
1,12/24/2010,52.33,2.89,NA,NA,NA,NA,NA,211.41,7.84,FALSE
1,12/31/2010,48.43,2.94,NA,NA,NA,NA,NA,211.40,7.84,TRUE
1,1/7/2011,48.27,2.98,NA,NA,NA,NA,NA,211.40,7.74,FALSE
1,1/14/2011,35.40,2.98,NA,NA,NA,NA,NA,211.46,7.74,FALSE
1,1/21/2011,44.04,3.02,NA,NA,NA,NA,NA,211.83,7.74,FALSE
